417	грамота	17	0.0
418	орда	17	0.0
419	бочка	17	0.0
420	взимать	17	0.0
421	родной	17	0.0
422	малое	17	0.0
423	ум	17	0.0
424	на́	17	0.0
425	ворот	17	0.0
426	верный	17	0.0
427	святорусский	17	0.0
428	честь	17	0.0
429	гулять	17	0.0
430	стремя	17	0.0
431	тугой	17	0.0
432	самсон	17	0.0
433	червлёный	16	0.0
434	крутой	16	0.0
435	прислать	16	0.0
436	вёдро	16	0.0
437	поклониться	16	0.0
438	поить	16	0.0
439	весёлый	16	0.0
440	авдотья	16	0.0
441	никто	16	0.0
442	кудри	16	0.0
443	кровь	16	0.0
444	больший	16	0.0
445	гусёлка	16	0.0
446	чудо	16	0.0
447	смерть	16	0.0
448	зычный	16	0.0
449	бархат	16	0.0
450	лицо	16	0.0
451	окошечко	16	0.0
452	тёмный	16	0.0
453	жеребец	16	0.0
454	долго	16	0.0
455	проклятый	16	0.0
456	ставро	16	0.0
457	дальний	16	0.0
458	олёша	16	0.0
459	низко	16	0.0
460	горенка	16	0.0
461	буслай	15	0.0
462	полтора	15	0.0
463	ребята	15	0.0
464	видать	15	0.0
465	домой	15	0.0
466	сахарный	15	0.0
467	столовый	15	0.0
468	нечего	15	0.0
469	целый	15	0.0
470	нести	15	0.0
471	аль	15	0.0
472	ничто	15	0.0
473	село	15	0.0
474	посылать	15	0.0
475	ждать	15	0.0
476	девять	15	0.0
477	валита	15	0.0
478	запава	15	0.0
479	земелька	15	0.0
480	грязь	15	0.0
481	иванов	15	0.0
482	ступить	15	0.0
483	славушко	15	0.0
484	выезжать	15	0.0
485	владымиро	15	0.0
486	дым	15	0.0
487	топтать	15	0.0
488	прямоезжий	15	0.0
489	скоморошин	15	0.0
490	казимерский	15	0.0
491	васило	14	0.0
492	господь	14	0.0
493	вдовый	14	0.0
494	неделя	14	0.0
495	сон	14	0.0
496	путь	14	0.0
497	государыня	14	0.0
498	головушка	14	0.0
499	жёлтый	14	0.0
500	золот	14	0.0
501	чудный	14	0.0
502	небо	14	0.0
503	триста	14	0.0
504	уста	14	0.0
505	заповедь	14	0.0
506	белых	14	0.0
507	поклон	14	0.0
508	наехать	14	0.0
509	ино	14	0.0
510	повесить	14	0.0
511	отец	14	0.0
512	волос	14	0.0
513	телега	14	0.0
514	слуга	14	0.0
515	петь	14	0.0
516	ухо	14	0.0
517	владимер	14	0.0
518	садить	14	0.0
519	везти	14	0.0
520	стен	14	0.0
521	родно	14	0.0
522	калёный	14	0.0
523	лошадиный	14	0.0
524	суточка	14	0.0
525	рать	14	0.0
526	мимо	14	0.0
527	деревенщина	14	0.0
528	батур	14	0.0
529	подкоп	14	0.0
530	иванищий	14	0.0
531	нос	13	0.0
532	просить	13	0.0
